fibroblast	endothelial_cell	macrophage	myofibroblast_cell
ENSG00000165949	2.71	26.192	0.993	0.651452282157676
ENSG00000170323	8.543	179.157	17.658	62.0186721991701
ENSG00000110799	0.359	16.875	0.595	0.462655601659751
ENSG00000164687	0.985	25.786	3.181	3.47095435684647
ENSG00000261371	0.191	13.824	1.814	0.278008298755187
ENSG00000135218	0.759	21.19	5.607	5.18464730290456
ENSG00000184113	0.185	12.215	0.315	0.282157676348548
ENSG00000169908	0.32	12.24	0.319	0.865145228215768
ENSG00000162618	0.055	6.206	0.125	0.112033195020747
ENSG00000065054	0.508	12.598	0.614	0.761410788381743
ENSG00000130300	0.131	10.091	0.224	0.226141078838174
ENSG00000184557	16.818	23.839	4.936	7.4896265560166
ENSG00000102755	0.091	6.103	0.312	0.192946058091286
ENSG00000196628	3.154	10.898	2.232	2.53941908713693
ENSG00000116016	1.425	12.465	0.829	4.75311203319502
ENSG00000107281	0.649	7.269	0.435	0.369294605809129
ENSG00000162444	0.263	12.761	2.357	0.278008298755187
ENSG00000113594	1.118	9.328	0.197	0.533195020746888
ENSG00000163638	0.194	8.414	0.237	1.59751037344398
ENSG00000127920	2.849	8.679	0.931	1.03941908713693
ENSG00000134531	4.402	10.553	7.431	0.943983402489627
ENSG00000176435	0.068	4.503	0.083	0.0580912863070539
ENSG00000168497	0.126	5.83	0.175	0.20954356846473
ENSG00000267107	0.066	4.389	0.152	0.120331950207469
ENSG00000085063	2.758	11.68	3.187	3.21161825726141
ENSG00000099260	0.121	4.519	0.081	0.149377593360996
ENSG00000115306	4.504	9.587	0.921	1.62655601659751
ENSG00000125266	0.271	6.199	0.282	0.491701244813278
ENSG00000127329	0.064	4.246	0.086	0.112033195020747
ENSG00000205502	0.11	7.339	0.184	0.109958506224066
ENSG00000068001	0.27	4.338	0.39	0.149377593360996
ENSG00000213088	0.194	17.222	0.327	0.387966804979253
ENSG00000178726	0.487	6.726	3.511	0.529045643153527
ENSG00000106991	0.912	4.614	1.047	0.429460580912863
ENSG00000091409	0.073	4.742	0.206	0.122406639004149
ENSG00000125810	0.046	4.298	1.196	0.134854771784232
ENSG00000164035	0.064	3.436	0.072	0.0809128630705394
ENSG00000203883	0.06	4.51	0.096	0.0643153526970954
ENSG00000165810	0.214	7.994	0.32	1.34232365145228
ENSG00000133687	0.698	4.151	0.164	0.948132780082988
ENSG00000054654	1.3	8.686	0.448	3.52282157676349
ENSG00000173269	0.042	3.201	0.079	0.139004149377593
ENSG00000136826	8.055	8.943	8.39	1.17842323651452
ENSG00000166265	0.048	3.277	0.068	0.0435684647302905
ENSG00000060237	1.384	6.049	2.178	0.811203319502075
ENSG00000142192	3.922	6.469	1.947	1.64107883817427
ENSG00000159200	0.893	8.734	2.289	0.70746887966805
ENSG00000071282	1.699	4.323	0.246	2.13900414937759
ENSG00000125968	1.77	6.571	0.41	2.24896265560166
ENSG00000156298	0.054	3.323	0.065	0.0726141078838174
ENSG00000179144	0.065	3.612	0.777	0.033195020746888
ENSG00000164056	1.242	5.781	0.203	0.431535269709544
ENSG00000164736	0.062	4.102	0.105	0.0684647302904564
ENSG00000196126	0.066	4.48	2.467	0.0829875518672199
ENSG00000167775	0.511	4.138	0.17	0.197095435684647
ENSG00000163399	1.828	6.75	2.795	0.995850622406639
ENSG00000251322	0.062	2.509	0.098	0.0809128630705394
ENSG00000143537	0.466	3.468	1.088	0.182572614107884
ENSG00000172889	0.135	3.81	1.827	0.153526970954357
ENSG00000088387	0.146	2.743	0.112	0.16804979253112
ENSG00000152661	1.262	4.418	0.204	0.136929460580913
ENSG00000196139	0.998	3.436	0.156	0.329875518672199
ENSG00000170989	0.044	2.944	0.203	0.0560165975103734
ENSG00000129422	0.623	3.3	0.148	0.854771784232365
ENSG00000148175	2.91	5.61	2.693	2.33609958506224
ENSG00000117461	0.078	3.066	0.391	0.159751037344398
ENSG00000074416	0.675	4.364	1.408	1.7655601659751
ENSG00000137507	0.45	3.613	0.193	0.618257261410788
ENSG00000163171	0.112	3.84	0.902	0.153526970954357
ENSG00000185010	0.096	3.151	0.121	0.0954356846473029
ENSG00000173706	0.689	3.221	0.297	0.157676348547718
ENSG00000149564	0.064	3.16	0.089	1.54771784232365
ENSG00000104067	0.572	2.929	0.118	0.993775933609959
ENSG00000168309	0.515	3.401	0.114	0.143153526970954
ENSG00000137962	1.284	3.504	0.147	1.66804979253112
ENSG00000069122	0.095	4.225	0.123	1.25311203319502
ENSG00000133789	0.937	3.434	1.026	0.5
ENSG00000137710	1.334	4.775	1.282	0.778008298755187
ENSG00000161649	0.067	4.363	0.153	0.103734439834025
ENSG00000204301	0.082	2.408	0.118	0.12655601659751
ENSG00000136068	0.342	2.508	0.141	0.132780082987552
ENSG00000137831	0.571	3.134	0.944	0.562240663900415
ENSG00000133574	0.047	2.553	1.44	0.0622406639004149
ENSG00000181019	2.676	3.164	0.324	0.280082987551867
ENSG00000173530	0.083	2.567	0.301	0.394190871369295
ENSG00000276409	0.03	3.45	0.212	0.0518672199170125
ENSG00000223865	0.152	4.486	2.762	0.180497925311203
ENSG00000064989	0.354	2.752	0.531	0.288381742738589
ENSG00000154721	0.058	2.256	0.058	0.0352697095435685
ENSG00000249751	0.019	2.255	0.034	0.020746887966805
ENSG00000122679	0.035	2.904	0.061	0.045643153526971
ENSG00000079337	0.095	2.028	0.184	0.180497925311203
ENSG00000099250	0.775	3.308	3.059	1.02697095435685
ENSG00000120279	0.023	1.814	0.032	0.029045643153527
ENSG00000163072	0.056	1.926	0.07	0.0663900414937759
ENSG00000147113	0.033	1.927	0.048	0.0394190871369295
ENSG00000126217	0.111	1.886	0.092	0.163900414937759
ENSG00000173482	0.427	2.154	0.216	0.163900414937759
ENSG00000277494	0.047	2.488	0.106	0.0788381742738589
ENSG00000128567	0.06	2.3	0.093	0.0601659751037344
ENSG00000116106	0.089	1.828	0.037	0.141078838174274
ENSG00000085871	0.198	2.067	0.802	0.278008298755187
ENSG00000105538	0.062	1.704	0.062	0.0560165975103734
ENSG00000106537	0.031	2.22	0.081	0.045643153526971
ENSG00000167874	0.12	2.163	0.237	0.0684647302904564
ENSG00000132688	0.118	2.589	0.114	0.798755186721992
ENSG00000124785	0.146	1.982	0.042	0.155601659751037
ENSG00000188559	0.144	1.914	0.55	0.139004149377593
ENSG00000046604	0.045	1.86	0.054	0.0933609958506224
ENSG00000166398	0.292	2.001	0.358	0.369294605809129
ENSG00000157601	0.182	1.97	0.364	0.192946058091286
ENSG00000188643	1.279	2	0.119	0.0809128630705394
ENSG00000105371	0.167	2.608	1.321	0.12448132780083
ENSG00000136244	2.095	4.797	0.343	1.76348547717842
ENSG00000173210	0.15	2.067	0.303	0.0850622406639004
ENSG00000157554	0.015	1.694	0.06	0.0269709543568465
ENSG00000140105	0.263	2.136	0.424	0.0829875518672199
ENSG00000130396	0.549	1.861	0.181	0.0726141078838174
ENSG00000110841	0.312	2.046	0.116	0.307053941908714
ENSG00000159167	0.032	5.437	0.106	0.0746887966804979
ENSG00000130558	0.212	2.397	0.086	0.163900414937759
ENSG00000213203	0.035	1.792	0.638	0.0311203319502075
ENSG00000074590	0.64	2.4	0.072	0.400414937759336
ENSG00000111145	0.437	1.956	0.338	0.122406639004149
ENSG00000186994	0.039	1.522	0.05	0.307053941908714
ENSG00000135363	0.048	1.79	0.884	0.0311203319502075
ENSG00000198478	0.089	1.778	0.056	0.0394190871369295
ENSG00000143669	0.488	2.601	0.952	0.313278008298755
ENSG00000007908	0.049	6.205	0.085	0.0726141078838174
ENSG00000117298	1.246	2.145	0.193	0.711618257261411
ENSG00000154133	0.185	1.592	0.106	0.0352697095435685
ENSG00000128052	0.052	1.741	0.059	0.0767634854771784
ENSG00000071242	0.446	1.861	0.821	0.0995850622406639
ENSG00000167434	0.032	2.73	0.104	0.103734439834025
ENSG00000148154	0.865	2.55	0.645	0.641078838174274
ENSG00000186642	0.036	1.591	0.426	0.107883817427386
ENSG00000085276	0.021	1.431	0.036	0.037344398340249
ENSG00000163083	0.352	2.054	0.059	0.0663900414937759
ENSG00000114698	1.162	2.041	0.132	0.340248962655602
ENSG00000127946	0.205	2.165	0.508	0.900414937759336
ENSG00000163762	0.027	1.773	0.039	0.020746887966805
ENSG00000011465	133.336	4.106	6.27	2.46680497925311
ENSG00000197766	157.498	6.081	15.036	10.1265560165975
ENSG00000197614	34.06	0.633	1.482	0.514522821576763
ENSG00000148180	78.661	28.721	8.605	16.0850622406639
ENSG00000087245	19.75	0.723	1.481	0.510373443983402
ENSG00000077942	16.93	0.665	0.965	0.5850622406639
ENSG00000163520	12.233	2.3	0.748	0.246887966804979
ENSG00000167779	28.912	1.124	2.078	7.13900414937759
ENSG00000168079	12.68	0.186	0.567	0.143153526970954
ENSG00000189171	10.565	2.353	0.903	1.36099585062241
ENSG00000189129	9.527	1.655	0.626	4.43360995850622
ENSG00000176046	8.776	1.402	1.673	2.59958506224066
ENSG00000174807	7.23	0.187	0.383	0.452282157676349
ENSG00000170801	5.714	0.245	0.411	0.151452282157676
ENSG00000197747	22.296	11.432	11.177	1.71576763485477
ENSG00000182718	15.745	9.019	8.554	2.85684647302905
ENSG00000144476	8.19	0.36	0.499	0.983402489626556
ENSG00000221869	38.81	20.26	9.998	25.7240663900415
ENSG00000124107	8.166	0.302	0.38	0.267634854771784
ENSG00000035862	10.471	1.772	4.816	1.71784232365145
ENSG00000091986	8.341	0.203	0.334	0.54149377593361
ENSG00000142973	4.315	1.083	0.262	0.512448132780083
ENSG00000117143	9.322	1.188	0.812	1.1597510373444
ENSG00000119681	5.47	0.174	0.723	0.159751037344398
ENSG00000162576	4.309	0.239	0.267	0.726141078838174
ENSG00000154736	5.021	0.183	0.222	0.784232365145228
ENSG00000163710	3.977	0.117	0.201	0.20746887966805
ENSG00000135047	5.897	1.136	4.061	1.62448132780083
ENSG00000143387	6.204	0.211	0.7	0.20954356846473
ENSG00000115310	10.923	4.775	6.281	2.75933609958506
ENSG00000013588	5.051	0.394	0.369	0.45643153526971
ENSG00000101000	3.776	0.332	0.161	0.522821576763486
ENSG00000154175	2.799	0.159	0.172	0.109958506224066
ENSG00000205221	2.396	0.109	0.146	0.0497925311203319
ENSG00000108679	2.709	0.334	0.636	0.705394190871369
ENSG00000162493	2.471	0.099	0.13	0.0560165975103734
ENSG00000164530	4.692	0.104	0.215	0.0560165975103734
ENSG00000198755	28.172	16.115	12.192	16.5809128630705
ENSG00000174080	2.216	0.28	0.456	0.643153526970954
ENSG00000129009	2.147	0.116	0.134	0.29045643153527
ENSG00000135404	22.089	8.309	14.103	10.3526970954357
ENSG00000136942	23.986	16.464	16.473	12.7344398340249
ENSG00000173372	0.817	0.864	59.975	0.647302904564315
ENSG00000173369	0.885	0.891	63.045	0.657676348547718
ENSG00000129538	1.512	8.637	97.749	1.08298755186722
ENSG00000177575	0.311	0.278	32.416	0.217842323651452
ENSG00000159189	0.332	0.287	31.208	0.192946058091286
